time,V_ai0,V_ai1,V_ai2
0,-9.79583563471019,-6.38374937387392,-3.69016621711098
0.0025,-9.77545780329734,-6.36846229545656,-3.69016621711098
0.005,-9.71432430905882,-6.37355798826234,-3.70035245615548
0.0075,-9.71432430905882,-6.35317521703919,-3.69016621711098
0.01,-9.79074117685698,-6.36336660265077,-3.70035245615548
0.0125,-9.76017442973771,-6.35317521703919,-3.69525933663323
0.015,-9.77545780329734,-6.37355798826234,-3.70544557567773
0.0175,-9.79583563471019,-6.40413214509707,-3.71053869519998
0.02,-9.78564671900377,-6.3480795242334,-3.70544557567773
0.0225,-9.77545780329734,-6.37865368106813,-3.71053869519998
0.025,-9.78564671900377,-6.35317521703919,-3.70544557567773
0.0275,-9.78564671900377,-6.37865368106813,-3.70544557567773
0.03,-9.73979659832487,-6.3480795242334,-3.71053869519998
0.0325,-9.73979659832487,-6.36846229545656,-3.70544557567773
0.035,-9.77036334544413,-6.37355798826234,-3.72072493424448
0.0375,-9.74489105617808,-6.37355798826234,-3.65960749997748
0.04,-9.79074117685698,-6.35827090984498,-3.69016621711098
0.0425,-9.79583563471019,-6.35827090984498,-3.69016621711098
0.045,-9.68375756193955,-6.36336660265077,-3.69016621711098
0.0475,-9.71432430905882,-6.35827090984498,-3.69016621711098
0.05,-9.71941876691203,-6.36336660265077,-3.67997997806648
0.0525,-9.71432430905882,-6.34298383142761,-3.66470061949973
0.055,-0.0959878821972175,-6.33279244581604,-3.65451438045524
0.0575,-0.0959878821972175,-6.32769675301025,-3.69016621711098
0.06,-9.87225250250835,-6.32769675301025,-3.66470061949973
0.0625,-9.87734696036156,-6.32769675301025,-3.69016621711098
0.065,-9.7550799718845,-6.33279244581604,-3.69525933663323
0.0675,-9.74998551403129,-6.31240967459288,-3.65960749997748
0.07,-9.74998551403129,-6.3480795242334,-3.72581805376673
0.0725,-0.0959878821972175,-6.33788813862182,-3.65960749997748
0.075,-0.0959878821972175,-6.33788813862182,-3.68507309758873
0.0775,-0.101082340050429,-6.33279244581604,-3.69016621711098
0.08,-0.0908934243440065,-6.36336660265077,-3.68507309758873
0.0825,-0.0959878821972175,-6.40413214509707,-3.66979373902198
0.085,-0.0959878821972175,-6.38374937387392,-3.69016621711098
0.0875,-0.0959878821972175,-6.38374937387392,-3.70035245615548
0.09,-0.0959878821972175,-6.3480795242334,-3.72581805376673
0.0925,-0.0959878821972175,-6.36336660265077,-3.72072493424448
0.095,-9.73470214047166,-6.38884506667971,-3.72072493424448
0.0975,-9.73979659832487,-6.38884506667971,-3.71053869519998
0.1,-9.77545780329734,-6.38374937387392,-3.64942126093299
0.1025,-9.8009300925634,-6.38884506667971,-3.66470061949973
0.105,-9.81111900826982,-6.37865368106813,-3.72581805376673
0.1075,-9.74489105617808,-0.0956644515310163,-3.72581805376673
0.11,-9.74998551403129,-6.35827090984498,-3.72072493424448
0.1125,-9.73470214047166,-6.3480795242334,-3.73091117328898
0.115,-9.72451322476524,-6.33788813862182,-3.69525933663323
0.1175,-9.71941876691203,-6.3480795242334,-3.73091117328898
0.12,-9.72451322476524,-6.34298383142761,-3.73091117328898
0.1225,-9.85696912894871,-6.30221828898131,-3.78184236851147
0.125,-9.81111900826982,-6.33788813862182,-3.74619053185573
0.1275,-9.82130792397624,-6.32260106020446,-3.71563181472223
0.13,-9.85696912894871,-6.32260106020446,-3.71563181472223
0.1325,-9.8009300925634,-6.32260106020446,-3.72072493424448
0.135,-9.79074117685698,-6.33788813862182,-3.72072493424448
0.1375,-9.79583563471019,-6.33788813862182,-3.76146989042248
0.14,-9.79583563471019,-6.35827090984498,-3.74619053185573
0.1425,-9.76017442973771,-6.37865368106813,-3.75637677090023
0.145,-9.76526888759092,-6.37355798826234,-3.74619053185573
0.1475,-9.78564671900377,-6.36336660265077,-3.72072493424448
0.15,-9.82640238182945,-6.35317521703919,-3.74109741233348
0.1525,-9.82130792397624,-6.3480795242334,-3.73600429281123
0.155,-9.82130792397624,-6.33788813862182,-3.74619053185573
0.1575,-9.83149683968266,-6.33279244581604,-3.73600429281123
0.16,-9.79583563471019,-6.32769675301025,-3.77674924898922
0.1625,-9.82130792397624,-6.33279244581604,-3.75637677090023
0.165,-9.84678021324229,-6.33788813862182,-3.75637677090023
