Datetime,Left_Discharge_m3/s,Middle_Discharge_m3/s,Right_Discharge_m3/s,Total_Discharge_m3/s
7/6/2022 0:00,4.896140627,4.138889878,4.865234909,13.90026541
7/6/2022 0:15,4.989164383,3.925787784,4.944705642,13.85965781
7/6/2022 0:30,4.860899384,3.699896847,4.829600597,13.39039683
7/6/2022 0:45,4.57261749,3.480529016,4.54247957,12.59562608
7/6/2022 1:00,4.297681408,3.269031676,4.268180192,11.83489328
7/6/2022 1:15,4.018762814,3.050811552,3.991181044,11.06075541
7/6/2022 1:30,3.750399695,2.83997701,3.724119729,10.31449643
7/6/2022 1:45,3.502062826,2.645761818,3.477288253,9.625112898
7/6/2022 2:00,3.258178489,2.453422173,3.235408928,8.94700959
7/6/2022 2:15,3.026793779,2.270496525,3.006181004,8.303471308
7/6/2022 2:30,2.815660257,2.104705516,2.796868066,7.71723384
7/6/2022 2:45,2.608683682,1.940483809,2.592102671,7.141270161
7/6/2022 3:00,2.417742067,2.407302135,2.400039241,7.225083444
7/6/2022 3:15,2.209801258,2.199343153,2.194367043,6.603511454
7/6/2022 3:30,2.021174409,2.012250494,2.007999053,6.041423956
7/6/2022 3:45,1.843205001,1.836846186,1.832199869,5.512251056
7/6/2022 4:00,1.678205098,1.675059929,1.669080626,5.022345653
7/6/2022 4:15,1.480995835,1.526466395,1.464969369,4.472431599
7/6/2022 4:30,0.700521406,0.769966898,0.694367898,2.164856201
7/6/2022 4:45,1.496039567,3.146668108,1.424547488,6.067255163
7/6/2022 5:00,0,-1.803352633,0,-1.803352633
7/6/2022 5:15,0,-2.565139689,0,-2.565139689
7/6/2022 5:30,0,-3.351914874,0,-3.351914874
7/6/2022 5:45,0,-4.082416899,0,-4.082416899
7/6/2022 6:00,0,-4.625022618,0,-4.625022618
7/6/2022 6:15,0,-5.310772285,0,-5.310772285
7/6/2022 6:30,0,-5.940361164,0,-5.940361164
7/6/2022 6:45,0,-7.243360026,0,-7.243360026
7/6/2022 7:00,0,-8.041214871,0,-8.041214871
7/6/2022 7:15,0,-8.386787294,0,-8.386787294
7/6/2022 7:30,0,-8.619945475,0,-8.619945475
7/6/2022 7:45,0,-8.909391441,0,-8.909391441
7/6/2022 8:00,0,-9.189487909,0,-9.189487909
7/6/2022 8:15,0,-9.462510185,0,-9.462510185
7/6/2022 8:30,0,-9.566116174,0,-9.566116174
7/6/2022 8:45,0,-9.616542028,0,-9.616542028
7/6/2022 9:00,0,-9.556036229,0,-9.556036229
7/6/2022 9:15,0,-9.379662414,0,-9.379662414
7/6/2022 9:30,0,-9.263450281,0,-9.263450281
7/6/2022 9:45,0,-9.003460861,0,-9.003460861
7/6/2022 10:00,0,-8.878320913,0,-8.878320913
7/6/2022 10:15,0,-8.527708529,0,-8.527708529
7/6/2022 10:30,0,-8.876219611,0,-8.876219611
7/6/2022 10:45,0,-7.807864575,0,-7.807864575
7/6/2022 11:00,0,-7.062616263,0,-7.062616263
7/6/2022 11:15,0,-6.270862463,0,-6.270862463
7/6/2022 11:30,0,-4.359929822,0,-4.359929822
7/6/2022 11:45,0,-2.343011131,0,-2.343011131
7/6/2022 12:00,4.963249835,4.243902887,4.926480859,14.13363358
7/6/2022 12:15,5.334488132,4.45729465,5.303578847,15.09536163
7/6/2022 12:30,5.504530003,4.183877541,5.461365771,15.14977331
7/6/2022 12:45,5.186512772,3.942413982,5.151602813,14.28052957
7/6/2022 13:00,4.88467057,3.712552094,4.851105501,13.44832817
7/6/2022 13:15,4.597264179,3.49351821,4.56501437,12.65579676
7/6/2022 13:30,4.323138841,3.283765707,4.291967195,11.89887174
7/6/2022 13:45,4.04448817,3.066789452,4.015642475,11.1269201
7/6/2022 14:00,3.785143831,2.865720914,3.757939168,10.40880391
7/6/2022 14:15,3.528637527,2.664421758,3.503287275,9.696346559
7/6/2022 14:30,3.284523059,2.472318815,3.261278965,9.018120839
7/6/2022 14:45,3.059763057,2.296647059,3.038694855,8.395104971
7/6/2022 15:00,2.841699805,2.124131519,2.822589634,7.788420959
7/6/2022 15:15,2.640141131,1.965967771,2.622925659,7.229034561
7/6/2022 15:30,2.447687415,2.436556143,2.429670183,7.313913741
7/6/2022 15:45,2.237157067,2.226099514,2.221438332,6.684694912
7/6/2022 16:00,2.048364241,2.038500557,2.034754511,6.121619308
7/6/2022 16:15,1.871151669,1.862391576,1.859428762,5.592972006
7/6/2022 16:30,1.705471826,1.698065108,1.695422739,5.098959672
7/6/2022 16:45,1.551794851,1.547503888,1.543579246,4.642877985
7/6/2022 17:00,1.411801862,1.411273989,1.40544148,4.22851733
7/6/2022 17:15,0.87570851,0.930181152,0.869823918,2.675713579
7/6/2022 17:30,0,-1.535833712,0,-1.535833712
7/6/2022 17:45,0,-1.646382376,0,-1.646382376
7/6/2022 18:00,0,-2.39852144,0,-2.39852144
7/6/2022 18:15,0,-3.260041424,0,-3.260041424
7/6/2022 18:30,0,-4.196116306,0,-4.196116306
7/6/2022 18:45,0,-4.809709743,0,-4.809709743
7/6/2022 19:00,0,-5.665531291,0,-5.665531291
7/6/2022 19:15,0,-6.492223933,0,-6.492223933
7/6/2022 19:30,0,-7.425243268,0,-7.425243268
7/6/2022 19:45,0,-8.563827101,0,-8.563827101
7/6/2022 20:00,0,-8.63592856,0,-8.63592856
7/6/2022 20:15,0,-8.746513286,0,-8.746513286
7/6/2022 20:30,0,-9.124596685,0,-9.124596685
7/6/2022 20:45,0,-9.101445374,0,-9.101445374
7/6/2022 21:00,0,-9.323246407,0,-9.323246407
7/6/2022 21:15,0,-9.311193167,0,-9.311193167
7/6/2022 21:30,0,-9.36994855,0,-9.36994855
7/6/2022 21:45,0,-9.271157036,0,-9.271157036
7/6/2022 22:00,0,-9.284514013,0,-9.284514013
7/6/2022 22:15,0,-9.057062448,0,-9.057062448
7/6/2022 22:30,0,-8.85906517,0,-8.85906517
7/6/2022 22:45,0,-8.491338564,0,-8.491338564
7/6/2022 23:00,0,-8.778592203,0,-8.778592203
7/6/2022 23:15,0,-7.956770026,0,-7.956770026
7/6/2022 23:30,0,-7.007964314,0,-7.007964314
7/6/2022 23:45,0,-6.396674044,0,-6.396674044
7/7/2022 0:00,0,-4.977974666,0,-4.977974666
7/7/2022 0:15,0,-3.627227345,0,-3.627227345
7/7/2022 0:30,2.733249963,2.265295314,2.675791053,7.67433633
7/7/2022 0:45,5.075599056,4.318625876,5.044412105,14.43863704
7/7/2022 1:00,5.082013698,4.192545023,5.052888551,14.32744727
7/7/2022 1:15,5.182077675,3.941890486,5.148326373,14.27229453
7/7/2022 1:30,4.879421227,3.712088302,4.847021567,13.4385311
7/7/2022 1:45,4.59189135,3.49207819,4.560382587,12.64435213
7/7/2022 2:00,4.31733233,3.28088619,4.28666403,11.88488255
7/7/2022 2:15,4.038519498,3.063231498,4.009950517,11.11170151
7/7/2022 2:30,3.778754792,2.861369181,3.751765906,10.39188988
7/7/2022 2:45,3.522082316,2.659897372,3.496905706,9.678885395
7/7/2022 3:00,3.278048957,2.467756746,3.254927781,9.000733485
7/7/2022 3:15,3.053158081,2.291881543,3.032199211,8.377238835
7/7/2022 3:30,2.835110697,2.119233164,2.816087494,7.770431356
7/7/2022 3:45,2.633568612,1.961004258,2.616431523,7.211004393
7/7/2022 4:00,2.439390812,2.428476873,2.421445191,7.289312877
7/7/2022 4:15,2.229635429,2.218902408,2.21405516,6.662592997
7/7/2022 4:30,2.0409007,2.031708872,2.027485093,6.100094666
7/7/2022 4:45,1.86255901,1.856015067,1.851356389,5.569930466
7/7/2022 5:00,1.696292059,1.693533075,1.687225991,5.077051125
7/7/2022 5:15,1.461041612,1.53984964,1.448009356,4.448900609
7/7/2022 5:30,0.934516771,0.990614157,0.928450229,2.853581157
7/7/2022 5:45,0.115107564,-4.130350898,0.266863175,-3.748380158
7/7/2022 6:00,0,-1.869944583,0,-1.869944583
7/7/2022 6:15,0,-2.514092355,0,-2.514092355
7/7/2022 6:30,0,-3.10783781,0,-3.10783781
7/7/2022 6:45,0,-3.827210357,0,-3.827210357
7/7/2022 7:00,0,-4.570547259,0,-4.570547259
7/7/2022 7:15,0,-5.365483846,0,-5.365483846
7/7/2022 7:30,0,-6.220043038,0,-6.220043038
7/7/2022 7:45,0,-7.143313384,0,-7.143313384
7/7/2022 8:00,0,-8.067796481,0,-8.067796481
7/7/2022 8:15,0,-8.34564716,0,-8.34564716
7/7/2022 8:30,0,-8.622161775,0,-8.622161775
7/7/2022 8:45,0,-8.894552741,0,-8.894552741
7/7/2022 9:00,0,-9.122106496,0,-9.122106496
7/7/2022 9:15,0,-9.214682112,0,-9.214682112
7/7/2022 9:30,0,-9.277775976,0,-9.277775976
7/7/2022 9:45,0,-9.224931601,0,-9.224931601
7/7/2022 10:00,0,-9.202442413,0,-9.202442413
7/7/2022 10:15,0,-9.112945891,0,-9.112945891
7/7/2022 10:30,0,-8.943452055,0,-8.943452055
7/7/2022 10:45,0,-8.734353766,0,-8.734353766
7/7/2022 11:00,0,-8.418973016,0,-8.418973016
7/7/2022 11:15,0,-8.460643599,0,-8.460643599
7/7/2022 11:30,0,-7.500311717,0,-7.500311717
7/7/2022 11:45,0,-6.676811378,0,-6.676811378
7/7/2022 12:00,0,-5.641959865,0,-5.641959865
7/7/2022 12:15,0,-3.893291015,0,-3.893291015
7/7/2022 12:30,0,-0.689874448,0,-0.689874448
7/7/2022 12:45,4.227923453,3.638778605,4.194596341,12.0612984
7/7/2022 13:00,4.95558923,4.193433788,4.925218645,14.07424166
7/7/2022 13:15,4.999936794,3.983586104,4.956655925,13.94017882
7/7/2022 13:30,4.93759021,3.757690234,4.905353278,13.60063372
7/7/2022 13:45,4.646845623,3.534910431,4.615364662,12.79712072
7/7/2022 14:00,4.369475652,3.32158285,4.338778005,12.02983651
7/7/2022 14:15,4.096748907,3.109976441,4.068039333,11.27476468
7/7/2022 14:30,3.826061262,2.897990054,3.798710851,10.52276217
7/7/2022 14:45,3.566806792,2.694380857,3.541206499,9.802394148
7/7/2022 15:00,3.319730475,2.499986195,3.296299457,9.116016127
7/7/2022 15:15,3.092981308,2.322580457,3.071569578,8.487131343
7/7/2022 15:30,2.872101242,2.147941345,2.852798219,7.872840806
7/7/2022 15:45,2.668858498,1.988323656,2.651356786,7.30853894
7/7/2022 16:00,2.481964445,2.470422396,2.463655168,7.416042009
7/7/2022 16:15,2.270162256,2.260012793,2.254108853,6.784283902
7/7/2022 16:30,2.073259632,2.06306836,2.059381711,6.195709702
7/7/2022 16:45,1.894309829,1.885159501,1.882318727,5.661788057
7/7/2022 17:00,1.726948401,1.718693383,1.71656841,5.162210193
7/7/2022 17:15,1.572886162,1.565415904,1.563803225,4.702105291
7/7/2022 17:30,1.426554021,1.419321803,1.418746405,4.264622229
7/7/2022 17:45,1.300820715,1.297701068,1.29444552,3.892967303
7/7/2022 18:00,1.067644159,1.075159052,1.063808121,3.206611332
7/7/2022 18:15,0,-0.959066044,0,-0.959066044
7/7/2022 18:30,0,-2.035065578,0,-2.035065578
7/7/2022 18:45,0,-2.350901269,0,-2.350901269
7/7/2022 19:00,0,-3.090857672,0,-3.090857672
7/7/2022 19:15,0,-4.070451254,0,-4.070451254
7/7/2022 19:30,0,-4.882012135,0,-4.882012135
7/7/2022 19:45,0,-5.622674651,0,-5.622674651
7/7/2022 20:00,0,-6.518133505,0,-6.518133505
7/7/2022 20:15,0,-7.671432619,0,-7.671432619
7/7/2022 20:30,0,-8.309950245,0,-8.309950245
7/7/2022 20:45,0,-8.60542587,0,-8.60542587
7/7/2022 21:00,0,-8.960904825,0,-8.960904825
7/7/2022 21:15,0,-9.197825974,0,-9.197825974
7/7/2022 21:30,0,-9.411148255,0,-9.411148255
7/7/2022 21:45,0,-9.528310238,0,-9.528310238
7/7/2022 22:00,0,-9.596453914,0,-9.596453914
7/7/2022 22:15,0,-9.674132585,0,-9.674132585
7/7/2022 22:30,0,-9.604449918,0,-9.604449918
7/7/2022 22:45,0,-9.528529051,0,-9.528529051
7/7/2022 23:00,0,-9.41183856,0,-9.41183856
7/7/2022 23:15,0,-9.218919871,0,-9.218919871
