date_time,Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft),Verified (m),diked_model_m,volume_m3,Qtotal_m3s
2022-07-06 00:00:00,2022/07/06,00:00,4.784,-,5.05,1.53924,0.0,171938.9332817064,-9.90348747295435
2022-07-06 00:06:00,2022/07/06,00:06,4.601,-,4.86,1.4813280000000002,0.011796670964650785,175504.18877197,-9.804640919863175
2022-07-06 00:12:00,2022/07/06,00:12,4.42,-,4.66,1.420368,0.023475599541482005,179033.85950312074,-9.69887032587312
2022-07-06 00:18:00,2022/07/06,00:18,4.241,-,4.52,1.377696,0.03469126143156675,182525.45282043505,-9.627095223408272
2022-07-06 00:24:00,2022/07/06,00:24,4.065,-,4.36,1.328928,0.045717483532579276,185991.20710086203,-9.542718456675182
2022-07-06 00:30:00,2022/07/06,00:30,3.891,-,4.21,1.2832080000000001,0.05664706620616597,189426.5857452651,-9.463552820951797
2022-07-06 00:36:00,2022/07/06,00:36,3.72,-,4.03,1.228344,0.06748597792844314,192833.46476080775,-9.365492167092729
2022-07-06 00:42:00,2022/07/06,00:42,3.553,-,3.87,1.1795760000000002,0.07821257762682007,196205.04194096112,-9.278596932320976
2022-07-06 00:48:00,2022/07/06,00:48,3.389,-,3.69,1.124712,0.08880595395739148,199545.33683659666,-9.17844646966104
2022-07-06 00:54:00,2022/07/06,00:54,3.23,-,3.53,1.075944,0.09894963454715225,202849.57756567464,-9.089294722963295
2022-07-06 01:00:00,2022/07/06,01:00,3.074,-,3.37,1.027176,0.10899478791386814,206121.72366594142,-8.999219368466274
2022-07-06 01:06:00,2022/07/06,01:06,2.924,-,3.16,0.9631680000000001,0.11894039332025685,209361.44263858927,-8.876359463770047
2022-07-06 01:12:00,2022/07/06,01:12,2.778,-,2.99,0.9113520000000002,0.1287502184903445,212556.93204554648,-8.777565174988727
2022-07-06 01:18:00,2022/07/06,01:18,2.638,-,2.85,0.8686800000000001,0.13845085985543826,215716.85550854242,-8.697129227871905
2022-07-06 01:24:00,2022/07/06,01:24,2.504,-,2.72,0.8290560000000001,0.14806260637779534,218847.8220305763,-8.62245533933115
2022-07-06 01:30:00,2022/07/06,01:30,2.377,-,2.63,0.801624,0.15735935053273814,221951.9059527355,-8.573223676946359
2022-07-06 01:36:00,2022/07/06,01:36,2.256,-,2.56,0.7802880000000001,0.16656212276305468,225038.2664764362,0.5666030202834926
2022-07-06 01:42:00,2022/07/06,01:42,2.143,-,2.43,0.7406640000000001,0.16595391297672896,224834.28938913415,0.5694966448094693
2022-07-06 01:48:00,2022/07/06,01:48,2.039,-,2.34,0.713232,0.1653425970813786,224629.27059700273,0.5715431815902354
2022-07-06 01:54:00,2022/07/06,01:54,1.942,-,2.25,0.6858000000000001,0.16472908436805592,224423.51505163024,0.5736402799126994
2022-07-06 02:00:00,2022/07/06,02:00,1.856,-,2.16,0.6583680000000001,0.1641133205623865,224217.00455086166,0.5757918929298327
2022-07-06 02:06:00,2022/07/06,02:06,1.778,-,2.09,0.637032,0.16349524714655522,224009.71946940693,0.5774944881723288
2022-07-06 02:12:00,2022/07/06,02:12,1.712,-,2.04,0.621792,0.16287534611058851,223801.8214536649,0.5787184876115687
2022-07-06 02:18:00,2022/07/06,02:18,1.656,-,2.0,0.6096,0.16225413119451398,223593.48279812472,0.5797010854313391
2022-07-06 02:24:00,2022/07/06,02:24,1.611,-,1.93,0.588264,0.16163186152654327,223384.79040736944,0.5814923910804338
2022-07-06 02:30:00,2022/07/06,02:30,1.578,-,1.91,0.582168,0.16100766901385227,223175.4531465805,0.5819728092486981
2022-07-06 02:36:00,2022/07/06,02:36,1.558,-,1.88,0.573024,0.1603829608049489,222965.94293525096,0.58272704825417
