# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database 
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2025-11-07 21:08:38 EST       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 011058798 HERRING R AT CHEQUESSETT NECK RD AT WELLFLEET, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 011058798
#            TS   parameter     Description
#        218558       00065     Gage height, feet, Ocean side
#         66254       00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	tz_cd	218558_00065	218558_00065_cd	66254_00065	66254_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	011058798	2022-07-14 00:00	EDT	7.18	A	0.11	A
USGS	011058798	2022-07-14 00:05	EDT	7.15	A	0.11	A
USGS	011058798	2022-07-14 00:10	EDT	7.11	A	0.20	A
USGS	011058798	2022-07-14 00:15	EDT	7.10	A	0.24	A
USGS	011058798	2022-07-14 00:20	EDT	7.03	A	0.24	A
USGS	011058798	2022-07-14 00:25	EDT	6.94	A	0.28	A
USGS	011058798	2022-07-14 00:30	EDT	6.82	A	0.32	A
USGS	011058798	2022-07-14 00:35	EDT	6.68	A	0.33	A
USGS	011058798	2022-07-14 00:40	EDT	6.60	A	0.36	A
USGS	011058798	2022-07-14 00:45	EDT	6.50	A	0.40	A
USGS	011058798	2022-07-14 00:50	EDT	6.35	A	0.44	A
USGS	011058798	2022-07-14 00:55	EDT	6.20	A	0.47	A
USGS	011058798	2022-07-14 01:00	EDT	6.01	A	0.48	A
USGS	011058798	2022-07-14 01:05	EDT	5.84	A	0.51	A
USGS	011058798	2022-07-14 01:10	EDT	5.65	A	0.53	A
